	read	size	intended_classize	observed_classize
0	58.0	8.0	8.0	8.0
1	82.62999725341797	9.0	9.0	9.0
2	46.33000183105469	9.0	9.0	9.0
3	66.55999755859375	9.0	9.0	11.0
4	75.0	10.0	10.0	10.0
5	80.55999755859375	10.0	10.0	10.0
6	84.44000244140625	10.0	10.0	10.0
7	77.4000015258789	10.0	10.0	10.0
8	87.44999694824219	11.0	11.0	11.0
9	69.25	11.0	11.0	17.0
10	59.779998779296875	11.0	11.0	11.0
11	57.09000015258789	12.0	12.0	12.0
12	68.80000305175781	12.0	12.0	12.0
13	58.83000183105469	12.0	12.0	12.0
14	74.0	12.0	12.0	12.0
15	77.2699966430664	12.0	12.0	12.0
16	80.0	13.0	13.0	14.0
17	72.91999816894531	13.0	13.0	12.0
18	86.0	13.0	13.0	13.0
19	82.66999816894531	14.0	14.0	16.0
20	78.19999694824219	14.0	14.0	15.0
21	86.0999984741211	14.0	14.0	14.0
22	64.37999725341797	14.0	14.0	14.0
23	86.0	14.0	14.0	14.0
24	73.5	14.0	14.0	14.0
25	74.69000244140625	14.0	14.0	14.0
26	68.0	15.0	15.0	15.0
27	84.52999877929688	15.0	15.0	15.0
28	84.5999984741211	15.0	15.0	16.0
29	59.0	15.0	15.0	15.0
30	72.12999725341797	15.0	15.0	15.0
31	80.16999816894531	15.0	15.0	15.0
32	80.87999725341797	16.0	16.0	16.0
33	82.12999725341797	16.0	16.0	16.0
34	73.2699966430664	16.0	16.0	16.0
35	78.62999725341797	16.0	16.0	16.0
36	74.0	16.0	16.0	16.0
37	77.80999755859375	17.0	17.0	17.0
38	63.0	17.0	17.0	16.0
39	72.0	17.0	17.0	17.0
40	73.05999755859375	17.0	17.0	17.0
41	77.0	17.0	17.0	17.0
42	70.44000244140625	17.0	17.0	17.0
43	81.52999877929688	17.0	17.0	17.0
44	63.2400016784668	17.0	17.0	17.0
45	67.0	17.0	17.0	17.0
46	81.58999633789062	18.0	18.0	18.0
47	73.87999725341797	18.0	18.0	18.0
48	62.689998626708984	18.0	18.0	18.0
49	82.66999816894531	18.0	18.0	18.0
50	71.29000091552734	18.0	18.0	18.0
51	44.189998626708984	19.0	19.0	19.0
52	84.27999877929688	19.0	19.0	19.0
53	85.12999725341797	19.0	19.0	19.0
54	74.0	19.0	19.0	19.0
55	84.79000091552734	19.0	19.0	19.0
56	76.87999725341797	19.0	19.0	19.0
57	78.91000366210938	19.0	19.0	19.0
58	81.29000091552734	19.0	19.0	19.0
59	76.72000122070312	19.0	19.0	19.0
60	76.0	19.0	19.0	19.0
61	79.94999694824219	19.0	19.0	19.0
62	77.41999816894531	19.0	19.0	19.0
63	65.5999984741211	20.0	20.0	20.0
64	73.66999816894531	20.0	20.0	20.0
65	64.0	20.0	20.0	20.0
66	75.69999694824219	20.0	20.0	20.0
67	69.75	20.0	20.0	20.0
68	61.58000183105469	20.0	20.0	20.0
69	79.73999786376953	20.0	20.0	20.0
70	77.4800033569336	20.0	20.0	20.0
71	79.33000183105469	20.0	20.0	20.0
72	79.0	20.0	20.0	20.0
73	82.72000122070312	20.0	20.0	20.0
74	76.88999938964844	20.0	20.0	20.0
75	53.0	20.0	20.0	20.0
