	schoolid	hispanic	college	black	otherrace	female	register	distance
0	1032.0	0.0	1.0	1.0	0.0	1.0	1.0	4.0
1	1032.0	0.0	1.0	1.0	0.0	1.0	1.0	4.0
2	1032.0	0.0	0.0	0.0	1.0	1.0	1.0	4.0
3	1032.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0
4	1032.0	0.0	0.0	1.0	0.0	1.0	0.0	4.0
5	1032.0	0.0	0.0	1.0	0.0	1.0	1.0	4.0
6	1037.0	0.0	1.0	0.0	1.0	0.0	1.0	4.0
7	1037.0	0.0	1.0	0.0	1.0	0.0	1.0	4.0
8	1037.0	0.0	1.0	0.0	1.0	1.0	0.0	4.0
9	1037.0	0.0	1.0	0.0	1.0	0.0	1.0	4.0
10	1037.0	0.0	1.0	0.0	1.0	0.0	1.0	4.0
11	1037.0	0.0	1.0	0.0	1.0	0.0	0.0	4.0
12	1037.0	0.0	1.0	0.0	1.0	0.0	1.0	4.0
13	1037.0	0.0	1.0	0.0	1.0	1.0	1.0	4.0
14	1037.0	0.0	1.0	0.0	1.0	0.0	0.0	4.0
15	1037.0	0.0	1.0	0.0	1.0	0.0	0.0	4.0
16	1045.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0
17	1045.0	0.0	0.0	0.0	0.0	1.0	1.0	4.0
18	1045.0	0.0	1.0	0.0	1.0	1.0	1.0	4.0
19	1045.0	0.0	1.0	0.0	1.0	0.0	1.0	4.0
20	1045.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0
21	1045.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0
22	1045.0	0.0	0.0	0.0	1.0	0.0	1.0	4.0
23	1045.0	0.0	1.0	1.0	0.0	0.0	1.0	4.0
24	1045.0	0.0	0.0	0.0	0.0	1.0	1.0	4.0
25	1045.0	1.0	0.0	0.0	0.0	1.0	1.0	4.0
26	1045.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0
27	1045.0	1.0	1.0	0.0	0.0	0.0	0.0	4.0
28	1049.0	0.0	0.0	1.0	0.0	1.0	1.0	26.0
29	1049.0	0.0	1.0	0.0	0.0	1.0	1.0	26.0
