clase_hog,descripcion,,educa_jefe,descripcion,,est_socio,descripcion,,sexo,descripcion,,tam_loc,descripcion,,,,,,ubica_geo,cve_ent,nom_ent,cve_mun,nom_mun
1,Unipersonal,,1,Sin instrucción,,1,Bajo,,1,Hombre,,1,Localidades con 100 000 y más habitantes,,,,,,10010000,1,Aguascalientes,1,Aguascalientes
2,Nuclear,,2,Preescolar,,2,Medio bajo,,2,Mujer,,2,Localidades con 15 000 a 99 999 habitantes,,,,,,10020000,1,Aguascalientes,2,Asientos
3,Ampliado,,3,Primaria incompleta,,3,Medio alto,,,,,3,Localidades con 2 500 a 14 999 habitantes,,,,,,10030000,1,Aguascalientes,3,Calvillo
4,Compuesto,,4,Primaria completa,,4,Alto,,,,,4,Localidades con menos de 2 500 habitantes,,,,,,10040000,1,Aguascalientes,4,Cos�ío
5,Corresidente,,5,Secundaria incompleta,,,,,,,,,,,,,,,10050000,1,Aguascalientes,5,Jes�ús Mar�ía
,,,6,Secundaria completa,,,,,,,,,,,,,,,10060000,1,Aguascalientes,6,Pabell�ón de Arteaga
,,,7,Preparatoria incompleta,,,,,,,,,,,,,,,10070000,1,Aguascalientes,7,Rinc�ón de Romos
,,,8,Preparatoria completa,,,,,,,,,,,,,,,10090000,1,Aguascalientes,9,Tepezal�á
,,,9,Profesional incompleta,,,,,,,,,,,,,,,10100000,1,Aguascalientes,10,El Llano
,,,10,Profesional completa,,,,,,,,,,,,,,,10110000,1,Aguascalientes,11,San Francisco de los Romo
,,,11,Posgrado,,,,,,,,,,,,,,,20010000,2,Baja California,1,Ensenada
,,,,,,,,,,,,,,,,,,,20020000,2,Baja California,2,Mexicali
,,,,,,,,,,,,,,,,,,,20030000,2,Baja California,3,Tecate
,,,,,,,,,,,,,,,,,,,20040000,2,Baja California,4,Tijuana
,,,,,,,,,,,,,,,,,,,20050000,2,Baja California,5,Playas de Rosarito
,,,,,,,,,,,,,,,,,,,30010000,3,Baja California Sur,1,Comond�ú
,,,,,,,,,,,,,,,,,,,30020000,3,Baja California Sur,2,Muleg�é
,,,,,,,,,,,,,,,,,,,30030000,3,Baja California Sur,3,La Paz
,,,,,,,,,,,,,,,,,,,30080000,3,Baja California Sur,8,Los Cabos
,,,,,,,,,,,,,,,,,,,30090000,3,Campeche,9,Campeche
,,,,,,,,,,,,,,,,,,,40010000,4,Campeche,1,Carmen
,,,,,,,,,,,,,,,,,,,40020000,4,Campeche,2,Champot�ón
,,,,,,,,,,,,,,,,,,,40030000,4,Campeche,3,Hecelchak�án
,,,,,,,,,,,,,,,,,,,40040000,4,Campeche,4,Hopelch�én
,,,,,,,,,,,,,,,,,,,40050000,4,Campeche,5,Palizada
,,,,,,,,,,,,,,,,,,,40060000,4,Campeche,6,Esc�árcega
,,,,,,,,,,,,,,,,,,,40070000,4,Campeche,7,Calakmul
,,,,,,,,,,,,,,,,,,,40080000,4,Campeche,8,Candelaria
,,,,,,,,,,,,,,,,,,,40090000,4,Coahuila de Zaragoza,9,Arteaga
,,,,,,,,,,,,,,,,,,,40100000,4,Coahuila de Zaragoza,10,Casta�ños
,,,,,,,,,,,,,,,,,,,40110000,4,Coahuila de Zaragoza,11,Cuatro Ci�énegas
,,,,,,,,,,,,,,,,,,,50020000,5,Coahuila de Zaragoza,2,Francisco I. Madero
,,,,,,,,,,,,,,,,,,,50030000,5,Coahuila de Zaragoza,3,Jim�énez
,,,,,,,,,,,,,,,,,,,50040000,5,Coahuila de Zaragoza,4,Matamoros
,,,,,,,,,,,,,,,,,,,50060000,5,Coahuila de Zaragoza,6,M�úzquiz
,,,,,,,,,,,,,,,,,,,50070000,5,Coahuila de Zaragoza,7,Nava
,,,,,,,,,,,,,,,,,,,50090000,5,Coahuila de Zaragoza,9,Ocampo
,,,,,,,,,,,,,,,,,,,50100000,5,Coahuila de Zaragoza,10,Parras
,,,,,,,,,,,,,,,,,,,50140000,5,Coahuila de Zaragoza,14,Ramos Arizpe
,,,,,,,,,,,,,,,,,,,50170000,5,Coahuila de Zaragoza,17,Saltillo
,,,,,,,,,,,,,,,,,,,50180000,5,Coahuila de Zaragoza,18,San Pedro
